Information listing created by	marti
Date	07-Dec-2023 23:39:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  97                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 44 25 27 220 221 222
  98                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 423 44 422 223 224 435
  99                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 423 25 44 156 220 223
  100                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 27 45 44 225 226 222
  101                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 28 45 27 227 225 228
  102                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 45 46 31 229 230 231
  103                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 45 28 46 227 232 229
  104                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 476 46 28 233 232 234
  105                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 46 5 31 235 212 230
  106                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 46 476 5 233 83 235
  107                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 422 47 421 236 237 436
  108                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 47 44 45 238 226 239
  109                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 47 422 44 236 224 238
  110                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 421 29 420 240 177 437
  111                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 421 47 29 237 241 240
  112                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 30 45 31 242 231 214
  113                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 47 30 29 243 187 241
  114                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 47 45 30 239 242 243
  115                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 2 27 25 244 221 163
  116                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 2 18 27 139 245 244
  117                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 18 28 27 246 228 245
  118                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 28 475 476 247 488 234
  119                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 475 18 474 248 145 489
  120                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 475 28 18 247 246 248
  121                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 504 399 3 412 249 250
  122                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 425 8 424 251 159 438
  123                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 48 426 427 252 439 253
  124                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 425 52 8 254 255 251
  125                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 51 426 48 256 252 257
  126                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 426 52 425 258 254 440
  127                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 426 51 52 256 259 258
  128                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 53 49 50 260 261 262
  129                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 51 54 52 263 264 259
  130                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 49 51 48 265 257 266
  131                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 51 53 54 267 268 263
  132                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 51 49 53 265 260 267
  133                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 52 402 8 269 165 255
  134                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 402 54 401 270 271 413
  135                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 402 52 54 269 264 270
  136                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 401 53 400 272 273 414
  137                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 401 54 53 271 268 272
  138                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 399 50 3 274 275 249
  139                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 50 400 53 276 273 262
  140                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 50 399 400 274 415 276
  141                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 430 56 429 277 278 441
  142                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 1 389 390 279 393 280
  143                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 1 55 389 281 282 279
  144                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 430 388 56 283 284 277
  145                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 430 502 388 442 394 283
  146                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 55 388 389 285 395 282
  147                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 55 56 388 286 284 285
  148                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 57 445 446 287 465 288
  149                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 1 391 58 289 290 291
  150                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 1 390 391 280 396 289
  151                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 445 392 503 292 397 466
  152                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 445 57 392 287 293 292
  153                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 392 58 391 294 290 398
