Information listing created by	marti
Date	11-Dec-2023 21:00:54
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\SOFCOM_G32\Simulation T6\T6 - MALHA BASE\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  109                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 25 55 26 258 259 254
  110                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 25 517 55 255 256 258
  111                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 20 519 520 260 532 261
  112                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 518 57 55 262 263 257
  113                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 519 57 518 264 262 533
  114                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 57 519 56 264 265 266
  115                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 519 20 56 260 267 265
  116                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 26 59 27 268 269 248
  117                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 58 55 57 270 263 271
  118                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 58 59 26 272 268 273
  119                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 55 58 26 270 273 259
  120                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 575 56 20 274 267 275
  121                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 540 61 575 276 277 551
  122                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 61 23 60 278 279 280
  123                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 61 540 23 276 143 278
  124                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 56 61 57 281 282 266
  125                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 56 575 61 274 277 281
  126                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 57 60 58 283 284 271
  127                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 57 61 60 282 280 283
  128                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 22 60 23 285 279 145
  129                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 21 27 59 286 269 287
  130                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 27 2 572 288 128 246
  131                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 27 21 2 286 130 288
  132                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 60 59 58 289 272 284
  133                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 21 60 22 290 285 136
  134                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 21 59 60 287 289 290
  135                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 71 67 68 291 292 293
  136                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 67 70 66 294 295 296
  137                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 70 71 69 297 298 299
  138                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 70 67 71 294 291 297
  139                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 69 489 490 300 506 301
