Information listing created by	marti
Date	07-Dec-2023 23:26:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem2.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  103                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 45 28 46
  104                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 126 46 28
  105                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 46 5 31
  106                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 46 126 5
  107                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 100 47 99
  108                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 47 44 45
  109                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 47 100 44
  110                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 99 29 98
  111                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 99 47 29
  112                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 30 45 31
  113                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 47 30 29
  114                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 47 45 30
  115                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 2 27 25
  116                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 2 18 27
  117                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 18 28 27
  118                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 28 125 126
  119                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 125 18 124
  120                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 125 28 18
  121                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 138 87 3
